bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k,percentil_densidade,label_densidade
MARECHAL HERMES,Misto,Hipermercados,15,41507.0,3.61,0.26,Baixa
MARECHAL HERMES,Misto,Mercearias,61,41507.0,14.7,0.67,Alta
MARECHAL HERMES,Misto,Supermercados,4,41507.0,0.96,0.07,Muito Baixa
MARECHAL HERMES,Ultraprocessado,Cantinas / Alimentação preparada,224,41507.0,53.97,0.89,Muito Alta
MARECHAL HERMES,Ultraprocessado,Lojas de conveniência / Varejo alimentar,27,41507.0,6.5,0.4,Baixa
MARECHAL HERMES,Ultraprocessado,Restaurantes / Lanchonetes,233,41507.0,56.14,0.91,Muito Alta
MARECHAL HERMES,Ultraprocessado,Serviços ambulantes,62,41507.0,14.94,0.68,Alta
MARIA DA GRACA,In natura,Açougues / Padarias,8,7209.0,11.1,0.57,Média
MARIA DA GRACA,In natura,Feira,1,0.0,0.0,0.0,0
MARIA DA GRACA,In natura,Hortifrutigranjeiros,4,7209.0,5.55,0.36,Baixa
MARIA DA GRACA,Misto,Hipermercados,1,7209.0,1.39,0.1,Muito Baixa
MARIA DA GRACA,Misto,Mercearias,8,7209.0,11.1,0.57,Média
MARIA DA GRACA,Ultraprocessado,Cantinas / Alimentação preparada,36,7209.0,49.94,0.87,Muito Alta
MARIA DA GRACA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,4,7209.0,5.55,0.36,Baixa
MARIA DA GRACA,Ultraprocessado,Restaurantes / Lanchonetes,40,7209.0,55.49,0.9,Muito Alta
MARIA DA GRACA,Ultraprocessado,Serviços ambulantes,11,7209.0,15.26,0.68,Alta
MEIER,In natura,Açougues / Padarias,58,39700.0,14.61,0.67,Alta
MEIER,In natura,Feira,4,0.0,0.0,0.0,0
MEIER,In natura,Hortifrutigranjeiros,19,39700.0,4.79,0.32,Baixa
MEIER,In natura,Peixarias,11,39700.0,2.77,0.21,Baixa
MEIER,Misto,Hipermercados,35,39700.0,8.82,0.48,Média
MEIER,Misto,Mercearias,50,39700.0,12.59,0.61,Alta
MEIER,Misto,Supermercados,8,39700.0,2.02,0.15,Muito Baixa
MEIER,Ultraprocessado,Cantinas / Alimentação preparada,295,39700.0,74.31,0.95,Muito Alta
MEIER,Ultraprocessado,Lojas de conveniência / Varejo alimentar,63,39700.0,15.87,0.69,Alta
MEIER,Ultraprocessado,Restaurantes / Lanchonetes,374,39700.0,94.21,0.97,Muito Alta
MEIER,Ultraprocessado,Serviços ambulantes,61,39700.0,15.37,0.68,Alta
MONERO,In natura,Açougues / Padarias,5,5723.0,8.74,0.47,Média
MONERO,In natura,Hortifrutigranjeiros,1,5723.0,1.75,0.12,Muito Baixa
MONERO,Misto,Mercearias,5,5723.0,8.74,0.47,Média
MONERO,Ultraprocessado,Cantinas / Alimentação preparada,17,5723.0,29.7,0.79,Alta
MONERO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,5723.0,5.24,0.34,Baixa
MONERO,Ultraprocessado,Restaurantes / Lanchonetes,17,5723.0,29.7,0.79,Alta
MONERO,Ultraprocessado,Serviços ambulantes,8,5723.0,13.98,0.64,Alta
NOVA HOLANDA (MARE),Misto,Cozinha,1,0.0,0.0,0.0,0
NOVA SEPETIBA,Misto,Cozinha,1,0.0,0.0,0.0,0
OLARIA,In natura,Açougues / Padarias,44,51222.0,8.59,0.47,Média
OLARIA,In natura,Feira,2,0.0,0.0,0.0,0
OLARIA,In natura,Hortifrutigranjeiros,18,51222.0,3.51,0.26,Baixa
OLARIA,In natura,Peixarias,4,51222.0,0.78,0.05,Muito Baixa
OLARIA,Misto,Hipermercados,18,51222.0,3.51,0.26,Baixa
OLARIA,Misto,Mercearias,45,51222.0,8.79,0.48,Média
OLARIA,Misto,Supermercados,5,51222.0,0.98,0.07,Muito Baixa
OLARIA,Ultraprocessado,Cantinas / Alimentação preparada,258,51222.0,50.37,0.88,Muito Alta
OLARIA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,54,51222.0,10.54,0.54,Média
OLARIA,Ultraprocessado,Restaurantes / Lanchonetes,282,51222.0,55.05,0.9,Muito Alta
OLARIA,Ultraprocessado,Serviços ambulantes,75,51222.0,14.64,0.67,Alta
OSVALDO CRUZ,Ultraprocessado,Restaurantes / Lanchonetes,1,29995.0,0.33,0.01,Muito Baixa
OSVALDO CRUZ,Ultraprocessado,Serviços ambulantes,1,29995.0,0.33,0.01,Muito Baixa
OSWALDO CRUZ,In natura,Feira,1,0.0,0.0,0.0,0
PACIENCIA,In natura,Açougues / Padarias,109,104884.0,10.39,0.53,Média
PACIENCIA,In natura,Horta,2,0.0,0.0,0.0,0
PACIENCIA,In natura,Hortifrutigranjeiros,56,104884.0,5.34,0.34,Baixa
PACIENCIA,In natura,Peixarias,22,104884.0,2.1,0.15,Muito Baixa
PACIENCIA,Misto,Hipermercados,33,104884.0,3.15,0.24,Baixa
PACIENCIA,Misto,Mercearias,145,104884.0,13.82,0.64,Alta
PACIENCIA,Misto,Supermercados,4,104884.0,0.38,0.01,Muito Baixa
PACIENCIA,Ultraprocessado,Cantinas / Alimentação preparada,359,104884.0,34.23,0.81,Muito Alta
PACIENCIA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,89,104884.0,8.49,0.46,Média
PACIENCIA,Ultraprocessado,Restaurantes / Lanchonetes,488,104884.0,46.53,0.86,Muito Alta
PACIENCIA,Ultraprocessado,Serviços ambulantes,131,104884.0,12.49,0.61,Alta
PADRE MIGUEL,In natura,Açougues / Padarias,54,61254.0,8.82,0.48,Média
PADRE MIGUEL,In natura,Feira,1,0.0,0.0,0.0,0
PADRE MIGUEL,In natura,Hortifrutigranjeiros,28,61254.0,4.57,0.31,Baixa
PADRE MIGUEL,In natura,Peixarias,15,61254.0,2.45,0.18,Muito Baixa
PADRE MIGUEL,Misto,Cozinha,2,0.0,0.0,0.0,0
PADRE MIGUEL,Misto,Hipermercados,12,61254.0,1.96,0.14,Muito Baixa
PADRE MIGUEL,Misto,Mercearias,65,61254.0,10.61,0.54,Média
PADRE MIGUEL,Misto,Supermercados,5,61254.0,0.82,0.05,Muito Baixa
PADRE MIGUEL,Ultraprocessado,Cantinas / Alimentação preparada,245,61254.0,40.0,0.83,Muito Alta
PADRE MIGUEL,Ultraprocessado,Lojas de conveniência / Varejo alimentar,47,61254.0,7.67,0.44,Média
PADRE MIGUEL,Ultraprocessado,Restaurantes / Lanchonetes,311,61254.0,50.77,0.88,Muito Alta
PADRE MIGUEL,Ultraprocessado,Serviços ambulantes,86,61254.0,14.04,0.65,Alta
PAQUETA,In natura,Açougues / Padarias,5,3486.0,14.34,0.66,Alta
PAQUETA,In natura,Hortifrutigranjeiros,3,3486.0,8.61,0.47,Média
PAQUETA,Misto,Mercearias,6,3486.0,17.21,0.71,Alta
PAQUETA,Ultraprocessado,Cantinas / Alimentação preparada,21,3486.0,60.24,0.92,Muito Alta
PAQUETA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,3486.0,2.87,0.21,Baixa
PAQUETA,Ultraprocessado,Restaurantes / Lanchonetes,17,3486.0,48.77,0.87,Muito Alta
PAQUETA,Ultraprocessado,Serviços ambulantes,11,3486.0,31.55,0.8,Muito Alta
PARADA DE LUCAS,In natura,Açougues / Padarias,24,22069.0,10.87,0.55,Média
PARADA DE LUCAS,In natura,Hortifrutigranjeiros,13,22069.0,5.89,0.37,Baixa
PARADA DE LUCAS,In natura,Peixarias,6,22069.0,2.72,0.2,Baixa
PARADA DE LUCAS,Misto,Cozinha,1,0.0,0.0,0.0,0
PARADA DE LUCAS,Misto,Hipermercados,3,22069.0,1.36,0.09,Muito Baixa
PARADA DE LUCAS,Misto,Mercearias,50,22069.0,22.66,0.75,Alta
PARADA DE LUCAS,Misto,Supermercados,3,22069.0,1.36,0.09,Muito Baixa
PARADA DE LUCAS,Ultraprocessado,Cantinas / Alimentação preparada,71,22069.0,32.17,0.81,Muito Alta
PARADA DE LUCAS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,23,22069.0,10.42,0.54,Média
PARADA DE LUCAS,Ultraprocessado,Restaurantes / Lanchonetes,91,22069.0,41.23,0.84,Muito Alta
PARADA DE LUCAS,Ultraprocessado,Serviços ambulantes,24,22069.0,10.87,0.55,Média
PARQUE ANCHIETA,In natura,Açougues / Padarias,23,21833.0,10.53,0.54,Média
PARQUE ANCHIETA,In natura,Hortifrutigranjeiros,9,21833.0,4.12,0.29,Baixa
PARQUE ANCHIETA,In natura,Peixarias,8,21833.0,3.66,0.27,Baixa
PARQUE ANCHIETA,Misto,Hipermercados,5,21833.0,2.29,0.17,Muito Baixa
PARQUE ANCHIETA,Misto,Mercearias,24,21833.0,10.99,0.56,Média
PARQUE ANCHIETA,Ultraprocessado,Cantinas / Alimentação preparada,93,21833.0,42.6,0.84,Muito Alta
PARQUE ANCHIETA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,26,21833.0,11.91,0.6,Média
PARQUE ANCHIETA,Ultraprocessado,Restaurantes / Lanchonetes,106,21833.0,48.55,0.87,Muito Alta
PARQUE ANCHIETA,Ultraprocessado,Serviços ambulantes,31,21833.0,14.2,0.65,Alta
PARQUE COLUMBIA,In natura,Açougues / Padarias,4,8222.0,4.86,0.33,Baixa
PARQUE COLUMBIA,In natura,Hortifrutigranjeiros,2,8222.0,2.43,0.18,Muito Baixa
PARQUE COLUMBIA,In natura,Peixarias,1,8222.0,1.22,0.09,Muito Baixa
PARQUE COLUMBIA,Misto,Mercearias,7,8222.0,8.51,0.46,Média
PARQUE COLUMBIA,Ultraprocessado,Cantinas / Alimentação preparada,16,8222.0,19.46,0.73,Alta
PARQUE COLUMBIA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,8222.0,3.65,0.27,Baixa
PARQUE COLUMBIA,Ultraprocessado,Restaurantes / Lanchonetes,12,8222.0,14.59,0.67,Alta
PARQUE COLUMBIA,Ultraprocessado,Serviços ambulantes,3,8222.0,3.65,0.27,Baixa
PAVUNA,In natura,Açougues / Padarias,83,95337.0,8.71,0.47,Média
PAVUNA,In natura,Hortifrutigranjeiros,39,95337.0,4.09,0.28,Baixa
PAVUNA,In natura,Peixarias,33,95337.0,3.46,0.26,Baixa
PAVUNA,Misto,Cozinha,1,0.0,0.0,0.0,0
PAVUNA,Misto,Hipermercados,20,95337.0,2.1,0.15,Muito Baixa
PAVUNA,Misto,Mercearias,113,95337.0,11.85,0.59,Média
PAVUNA,Misto,Supermercados,8,95337.0,0.84,0.05,Muito Baixa
PAVUNA,Ultraprocessado,Cantinas / Alimentação preparada,326,95337.0,34.19,0.81,Muito Alta
PAVUNA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,65,95337.0,6.82,0.41,Média
PAVUNA,Ultraprocessado,Restaurantes / Lanchonetes,314,95337.0,32.94,0.81,Muito Alta
PAVUNA,Ultraprocessado,Serviços ambulantes,132,95337.0,13.85,0.64,Alta
PECHINCHA,In natura,Açougues / Padarias,42,39070.0,10.75,0.55,Média
PECHINCHA,In natura,Hortifrutigranjeiros,13,39070.0,3.33,0.25,Baixa
PECHINCHA,In natura,Peixarias,14,39070.0,3.58,0.26,Baixa
PECHINCHA,Misto,Hipermercados,10,39070.0,2.56,0.19,Muito Baixa
PECHINCHA,Misto,Mercearias,43,39070.0,11.01,0.56,Média
PECHINCHA,Misto,Supermercados,2,39070.0,0.51,0.03,Muito Baixa
PECHINCHA,Ultraprocessado,Cantinas / Alimentação preparada,250,39070.0,63.99,0.93,Muito Alta
PECHINCHA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,56,39070.0,14.33,0.66,Alta
PECHINCHA,Ultraprocessado,Restaurantes / Lanchonetes,197,39070.0,50.42,0.88,Muito Alta
PECHINCHA,Ultraprocessado,Serviços ambulantes,52,39070.0,13.31,0.63,Alta
PEDRA DE GUARATIBA,In natura,Açougues / Padarias,19,11950.0,15.9,0.69,Alta
PEDRA DE GUARATIBA,In natura,Hortifrutigranjeiros,6,11950.0,5.02,0.33,Baixa
PEDRA DE GUARATIBA,In natura,Peixarias,9,11950.0,7.53,0.43,Média
PEDRA DE GUARATIBA,Misto,Hipermercados,6,11950.0,5.02,0.33,Baixa
PEDRA DE GUARATIBA,Misto,Mercearias,43,11950.0,35.98,0.82,Muito Alta
PEDRA DE GUARATIBA,Ultraprocessado,Cantinas / Alimentação preparada,83,11950.0,69.46,0.94,Muito Alta
PEDRA DE GUARATIBA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,17,11950.0,14.23,0.65,Alta
PEDRA DE GUARATIBA,Ultraprocessado,Restaurantes / Lanchonetes,139,11950.0,116.32,0.98,Muito Alta
PEDRA DE GUARATIBA,Ultraprocessado,Serviços ambulantes,27,11950.0,22.59,0.75,Alta
PENHA,In natura,Açougues / Padarias,63,58516.0,10.77,0.55,Média
PENHA,In natura,Feira,5,0.0,0.0,0.0,0
PENHA,In natura,Horta,1,0.0,0.0,0.0,0
PENHA,In natura,Hortifrutigranjeiros,19,58516.0,3.25,0.24,Baixa
PENHA,In natura,Peixarias,16,58516.0,2.73,0.2,Baixa
PENHA,Misto,Cozinha,1,0.0,0.0,0.0,0
PENHA,Misto,Hipermercados,31,58516.0,5.3,0.34,Baixa
PENHA,Misto,Mercearias,68,58516.0,11.62,0.59,Média
PENHA,Misto,Supermercados,8,58516.0,1.37,0.09,Muito Baixa
PENHA,Ultraprocessado,Cantinas / Alimentação preparada,272,58516.0,46.48,0.86,Muito Alta
PENHA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,66,58516.0,11.28,0.58,Média
PENHA,Ultraprocessado,Restaurantes / Lanchonetes,367,58516.0,62.72,0.93,Muito Alta
PENHA,Ultraprocessado,Serviços ambulantes,85,58516.0,14.53,0.66,Alta
PENHA CIRCULAR,In natura,Açougues / Padarias,43,36725.0,11.71,0.59,Média
PENHA CIRCULAR,In natura,Hortifrutigranjeiros,17,36725.0,4.63,0.31,Baixa
PENHA CIRCULAR,In natura,Peixarias,8,36725.0,2.18,0.16,Muito Baixa
PENHA CIRCULAR,Misto,Cozinha,2,0.0,0.0,0.0,0
PENHA CIRCULAR,Misto,Hipermercados,16,36725.0,4.36,0.3,Baixa
PENHA CIRCULAR,Misto,Mercearias,67,36725.0,18.24,0.72,Alta
PENHA CIRCULAR,Misto,Supermercados,12,36725.0,3.27,0.25,Baixa
PENHA CIRCULAR,Ultraprocessado,Cantinas / Alimentação preparada,214,36725.0,58.27,0.91,Muito Alta
PENHA CIRCULAR,Ultraprocessado,Lojas de conveniência / Varejo alimentar,52,36725.0,14.16,0.65,Alta
PENHA CIRCULAR,Ultraprocessado,Restaurantes / Lanchonetes,218,36725.0,59.36,0.92,Muito Alta
PENHA CIRCULAR,Ultraprocessado,Serviços ambulantes,64,36725.0,17.43,0.71,Alta
PIEDADE,In natura,Açougues / Padarias,35,38712.0,9.04,0.48,Média
PIEDADE,In natura,Feira,3,0.0,0.0,0.0,0
PIEDADE,In natura,Hortifrutigranjeiros,13,38712.0,3.36,0.25,Baixa
PIEDADE,In natura,Peixarias,3,38712.0,0.77,0.04,Muito Baixa
PIEDADE,Misto,Hipermercados,7,38712.0,1.81,0.13,Muito Baixa
PIEDADE,Misto,Mercearias,51,38712.0,13.17,0.63,Alta
PIEDADE,Misto,Supermercados,2,38712.0,0.52,0.03,Muito Baixa
PIEDADE,Ultraprocessado,Cantinas / Alimentação preparada,223,38712.0,57.6,0.91,Muito Alta
PIEDADE,Ultraprocessado,Lojas de conveniência / Varejo alimentar,29,38712.0,7.49,0.43,Média
PIEDADE,Ultraprocessado,Restaurantes / Lanchonetes,218,38712.0,56.31,0.91,Muito Alta
PIEDADE,Ultraprocessado,Serviços ambulantes,62,38712.0,16.02,0.7,Alta
PILARES,In natura,Açougues / Padarias,27,23518.0,11.48,0.59,Média
PILARES,In natura,Feira,1,0.0,0.0,0.0,0
PILARES,In natura,Hortifrutigranjeiros,20,23518.0,8.5,0.46,Média
PILARES,In natura,Peixarias,7,23518.0,2.98,0.22,Baixa
PILARES,Misto,Hipermercados,10,23518.0,4.25,0.3,Baixa
PILARES,Misto,Mercearias,25,23518.0,10.63,0.54,Média
PILARES,Misto,Supermercados,6,23518.0,2.55,0.19,Muito Baixa
PILARES,Ultraprocessado,Cantinas / Alimentação preparada,157,23518.0,66.76,0.94,Muito Alta
PILARES,Ultraprocessado,Lojas de conveniência / Varejo alimentar,26,23518.0,11.06,0.57,Média
PILARES,Ultraprocessado,Restaurantes / Lanchonetes,183,23518.0,77.81,0.95,Muito Alta
PILARES,Ultraprocessado,Serviços ambulantes,42,23518.0,17.86,0.72,Alta
PITANGUEIRAS,In natura,Açougues / Padarias,7,10242.0,6.83,0.41,Média
PITANGUEIRAS,In natura,Hortifrutigranjeiros,3,10242.0,2.93,0.22,Baixa
PITANGUEIRAS,Misto,Mercearias,6,10242.0,5.86,0.37,Baixa
PITANGUEIRAS,Ultraprocessado,Cantinas / Alimentação preparada,23,10242.0,22.46,0.75,Alta
PITANGUEIRAS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,6,10242.0,5.86,0.37,Baixa
PITANGUEIRAS,Ultraprocessado,Restaurantes / Lanchonetes,27,10242.0,26.36,0.78,Alta
PITANGUEIRAS,Ultraprocessado,Serviços ambulantes,5,10242.0,4.88,0.33,Baixa
PORTUGUESA,In natura,Açougues / Padarias,8,19831.0,4.03,0.28,Baixa
PORTUGUESA,In natura,Feira,1,0.0,0.0,0.0,0
PORTUGUESA,In natura,Hortifrutigranjeiros,3,19831.0,1.51,0.11,Muito Baixa
PORTUGUESA,In natura,Peixarias,2,19831.0,1.01,0.07,Muito Baixa
PORTUGUESA,Misto,Hipermercados,4,19831.0,2.02,0.15,Muito Baixa
PORTUGUESA,Misto,Mercearias,11,19831.0,5.55,0.36,Baixa
PORTUGUESA,Misto,Supermercados,1,19831.0,0.5,0.03,Muito Baixa
PORTUGUESA,Ultraprocessado,Cantinas / Alimentação preparada,57,19831.0,28.74,0.79,Alta
PORTUGUESA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,18,19831.0,9.08,0.49,Média
PORTUGUESA,Ultraprocessado,Restaurantes / Lanchonetes,74,19831.0,37.32,0.82,Muito Alta
PORTUGUESA,Ultraprocessado,Serviços ambulantes,12,19831.0,6.05,0.38,Baixa
PRACA DA BANDEIRA,In natura,Açougues / Padarias,9,7215.0,12.47,0.61,Alta
PRACA DA BANDEIRA,In natura,Feira,1,0.0,0.0,0.0,0
PRACA DA BANDEIRA,In natura,Hortifrutigranjeiros,3,7215.0,4.16,0.29,Baixa
PRACA DA BANDEIRA,In natura,Peixarias,2,7215.0,2.77,0.21,Baixa
PRACA DA BANDEIRA,Misto,Hipermercados,5,7215.0,6.93,0.41,Média
PRACA DA BANDEIRA,Misto,Mercearias,16,7215.0,22.18,0.75,Alta
PRACA DA BANDEIRA,Misto,Supermercados,1,7215.0,1.39,0.1,Muito Baixa
PRACA DA BANDEIRA,Ultraprocessado,Cantinas / Alimentação preparada,78,7215.0,108.11,0.98,Muito Alta
PRACA DA BANDEIRA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,7215.0,19.4,0.73,Alta
PRACA DA BANDEIRA,Ultraprocessado,Restaurantes / Lanchonetes,121,7215.0,167.71,0.99,Muito Alta
PRACA DA BANDEIRA,Ultraprocessado,Serviços ambulantes,17,7215.0,23.56,0.77,Alta
PRACA SECA,In natura,Açougues / Padarias,36,63284.0,5.69,0.36,Baixa
PRACA SECA,In natura,Feira,1,0.0,0.0,0.0,0
PRACA SECA,In natura,Hortifrutigranjeiros,22,63284.0,3.48,0.26,Baixa
PRACA SECA,In natura,Peixarias,8,63284.0,1.26,0.09,Muito Baixa
PRACA SECA,Misto,Cozinha,1,0.0,0.0,0.0,0
PRACA SECA,Misto,Hipermercados,19,63284.0,3.0,0.23,Baixa
PRACA SECA,Misto,Mercearias,40,63284.0,6.32,0.39,Baixa
PRACA SECA,Misto,Supermercados,1,63284.0,0.16,0.0,Muito Baixa
PRACA SECA,Ultraprocessado,Cantinas / Alimentação preparada,236,63284.0,37.29,0.82,Muito Alta
PRACA SECA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,34,63284.0,5.37,0.35,Baixa
PRACA SECA,Ultraprocessado,Restaurantes / Lanchonetes,199,63284.0,31.45,0.8,Muito Alta
PRACA SECA,Ultraprocessado,Serviços ambulantes,82,63284.0,12.96,0.62,Alta
PRAIA DA BANDEIRA,In natura,Açougues / Padarias,1,5153.0,1.94,0.14,Muito Baixa
PRAIA DA BANDEIRA,Misto,Mercearias,5,5153.0,9.7,0.51,Média
PRAIA DA BANDEIRA,Ultraprocessado,Cantinas / Alimentação preparada,13,5153.0,25.23,0.78,Alta
PRAIA DA BANDEIRA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,5153.0,1.94,0.14,Muito Baixa
PRAIA DA BANDEIRA,Ultraprocessado,Restaurantes / Lanchonetes,26,5153.0,50.46,0.88,Muito Alta
PRAIA DA BANDEIRA,Ultraprocessado,Serviços ambulantes,7,5153.0,13.58,0.63,Alta
QUINTINO BOCAIUVA,In natura,Açougues / Padarias,9,24740.0,3.64,0.26,Baixa
QUINTINO BOCAIUVA,In natura,Feira,1,0.0,0.0,0.0,0
QUINTINO BOCAIUVA,In natura,Hortifrutigranjeiros,11,24740.0,4.45,0.31,Baixa
QUINTINO BOCAIUVA,In natura,Peixarias,5,24740.0,2.02,0.15,Muito Baixa
QUINTINO BOCAIUVA,Misto,Hipermercados,4,24740.0,1.62,0.12,Muito Baixa
QUINTINO BOCAIUVA,Misto,Mercearias,22,24740.0,8.89,0.48,Média
QUINTINO BOCAIUVA,Ultraprocessado,Cantinas / Alimentação preparada,155,24740.0,62.65,0.93,Muito Alta
QUINTINO BOCAIUVA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,19,24740.0,7.68,0.44,Média
QUINTINO BOCAIUVA,Ultraprocessado,Restaurantes / Lanchonetes,158,24740.0,63.86,0.93,Muito Alta
QUINTINO BOCAIUVA,Ultraprocessado,Serviços ambulantes,40,24740.0,16.17,0.7,Alta
RAMOS,In natura,Açougues / Padarias,82,34453.0,23.8,0.77,Alta
RAMOS,In natura,Feira,2,0.0,0.0,0.0,0
RAMOS,In natura,Hortifrutigranjeiros,29,34453.0,8.42,0.46,Média
RAMOS,In natura,Peixarias,16,34453.0,4.64,0.31,Baixa
RAMOS,Misto,Hipermercados,22,34453.0,6.39,0.39,Baixa
RAMOS,Misto,Mercearias,109,34453.0,31.64,0.8,Muito Alta
RAMOS,Misto,Supermercados,3,34453.0,0.87,0.06,Muito Baixa
RAMOS,Ultraprocessado,Cantinas / Alimentação preparada,307,34453.0,89.11,0.96,Muito Alta
RAMOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,73,34453.0,21.19,0.74,Alta
RAMOS,Ultraprocessado,Restaurantes / Lanchonetes,452,34453.0,131.19,0.99,Muito Alta
RAMOS,Ultraprocessado,Serviços ambulantes,97,34453.0,28.15,0.79,Alta
REALENGO,In natura,Açougues / Padarias,174,165881.0,10.49,0.54,Média
REALENGO,In natura,Feira,3,0.0,0.0,0.0,0
REALENGO,In natura,Horta,1,0.0,0.0,0.0,0
REALENGO,In natura,Hortifrutigranjeiros,98,165881.0,5.91,0.37,Baixa
REALENGO,In natura,Peixarias,33,165881.0,1.99,0.14,Muito Baixa
REALENGO,Misto,Cozinha,2,0.0,0.0,0.0,0
REALENGO,Misto,Hipermercados,36,165881.0,2.17,0.16,Muito Baixa
REALENGO,Misto,Mercearias,215,165881.0,12.96,0.62,Alta
REALENGO,Misto,Supermercados,15,165881.0,0.9,0.06,Muito Baixa
REALENGO,Ultraprocessado,Cantinas / Alimentação preparada,769,165881.0,46.36,0.86,Muito Alta
REALENGO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,135,165881.0,8.14,0.45,Média
REALENGO,Ultraprocessado,Restaurantes / Lanchonetes,879,165881.0,52.99,0.89,Muito Alta
REALENGO,Ultraprocessado,Serviços ambulantes,268,165881.0,16.16,0.7,Alta
RECREIO,Misto,Cozinha,2,0.0,0.0,0.0,0
RECREIO DOS BANDEIRANTES,In natura,Açougues / Padarias,155,141316.0,10.97,0.56,Média
RECREIO DOS BANDEIRANTES,In natura,Horta,1,0.0,0.0,0.0,0
RECREIO DOS BANDEIRANTES,In natura,Hortifrutigranjeiros,53,141316.0,3.75,0.27,Baixa
RECREIO DOS BANDEIRANTES,In natura,Peixarias,46,141316.0,3.26,0.24,Baixa
RECREIO DOS BANDEIRANTES,Misto,Hipermercados,49,141316.0,3.47,0.26,Baixa
RECREIO DOS BANDEIRANTES,Misto,Mercearias,165,141316.0,11.68,0.59,Média
RECREIO DOS BANDEIRANTES,Misto,Supermercados,9,141316.0,0.64,0.04,Muito Baixa
RECREIO DOS BANDEIRANTES,Ultraprocessado,Cantinas / Alimentação preparada,709,141316.0,50.17,0.88,Muito Alta
RECREIO DOS BANDEIRANTES,Ultraprocessado,Lojas de conveniência / Varejo alimentar,223,141316.0,15.78,0.69,Alta
RECREIO DOS BANDEIRANTES,Ultraprocessado,Restaurantes / Lanchonetes,1128,141316.0,79.82,0.95,Muito Alta
RECREIO DOS BANDEIRANTES,Ultraprocessado,Serviços ambulantes,140,141316.0,9.91,0.52,Média
RIACHUELO,In natura,Açougues / Padarias,8,10514.0,7.61,0.44,Média
RIACHUELO,In natura,Feira,2,0.0,0.0,0.0,0
RIACHUELO,In natura,Hortifrutigranjeiros,8,10514.0,7.61,0.44,Média
RIACHUELO,In natura,Peixarias,1,10514.0,0.95,0.07,Muito Baixa
RIACHUELO,Misto,Hipermercados,5,10514.0,4.76,0.32,Baixa
RIACHUELO,Misto,Mercearias,6,10514.0,5.71,0.36,Baixa
RIACHUELO,Misto,Supermercados,1,10514.0,0.95,0.07,Muito Baixa
RIACHUELO,Ultraprocessado,Cantinas / Alimentação preparada,57,10514.0,54.21,0.89,Muito Alta
RIACHUELO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,10514.0,13.32,0.63,Alta
RIACHUELO,Ultraprocessado,Restaurantes / Lanchonetes,56,10514.0,53.26,0.89,Muito Alta
RIACHUELO,Ultraprocessado,Serviços ambulantes,12,10514.0,11.41,0.58,Média
RIBEIRA,In natura,Açougues / Padarias,2,3474.0,5.76,0.37,Baixa
RIBEIRA,In natura,Feira,1,0.0,0.0,0.0,0
RIBEIRA,In natura,Hortifrutigranjeiros,1,3474.0,2.88,0.22,Baixa
RIBEIRA,Misto,Hipermercados,1,3474.0,2.88,0.22,Baixa
RIBEIRA,Misto,Mercearias,3,3474.0,8.64,0.47,Média
RIBEIRA,Ultraprocessado,Cantinas / Alimentação preparada,16,3474.0,46.06,0.86,Muito Alta
RIBEIRA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,5,3474.0,14.39,0.66,Alta
RIBEIRA,Ultraprocessado,Restaurantes / Lanchonetes,44,3474.0,126.66,0.98,Muito Alta
RIBEIRA,Ultraprocessado,Serviços ambulantes,3,3474.0,8.64,0.47,Média
RICARDO DE ALBUQUERQUE,In natura,Açougues / Padarias,31,27704.0,11.19,0.57,Média
RICARDO DE ALBUQUERQUE,In natura,Feira,1,0.0,0.0,0.0,0
RICARDO DE ALBUQUERQUE,In natura,Hortifrutigranjeiros,15,27704.0,5.41,0.35,Baixa
RICARDO DE ALBUQUERQUE,In natura,Peixarias,4,27704.0,1.44,0.1,Muito Baixa
RICARDO DE ALBUQUERQUE,Misto,Hipermercados,4,27704.0,1.44,0.1,Muito Baixa
RICARDO DE ALBUQUERQUE,Misto,Mercearias,41,27704.0,14.8,0.67,Alta
