bairro,classificacao_grupo,classificacao_cnae,quantidade,Total_de_pessoas_2022,densidade_por_10k
CAMPO GRANDE,Ultraprocessado,Restaurantes / Lanchonetes,2315,352704,140.5995
CAMPO GRANDE,Ultraprocessado,Serviços ambulantes,526,352704,140.5995
CAMPO GARNDE,Ultraprocessado,Restaurantes / Lanchonetes,1,,
CAMPO DOS AFONSOS,In natura,Açougues / Padarias,4,2106,23.7417
CAMPO DOS AFONSOS,In natura,Peixarias,1,2106,23.7417
CAMPO DOS AFONSOS,Misto,Hipermercados,1,2106,14.2450
CAMPO DOS AFONSOS,Misto,Mercearias,2,2106,14.2450
CAMPO DOS AFONSOS,Ultraprocessado,Cantinas / Alimentação preparada,10,2106,147.1985
CAMPO DOS AFONSOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,2,2106,147.1985
CAMPO DOS AFONSOS,Ultraprocessado,Restaurantes / Lanchonetes,18,2106,147.1985
CAMPO DOS AFONSOS,Ultraprocessado,Serviços ambulantes,1,2106,147.1985
CAMPINHO,In natura,Açougues / Padarias,13,8579,30.3066
CAMPINHO,In natura,Hortifrutigranjeiros,8,8579,30.3066
CAMPINHO,In natura,Peixarias,5,8579,30.3066
CAMPINHO,Misto,Hipermercados,2,8579,17.4846
CAMPINHO,Misto,Mercearias,12,8579,17.4846
CAMPINHO,Misto,Supermercados,1,8579,17.4846
CAMPINHO,Ultraprocessado,Cantinas / Alimentação preparada,48,8579,145.7046
CAMPINHO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,15,8579,145.7046
CAMPINHO,Ultraprocessado,Restaurantes / Lanchonetes,54,8579,145.7046
CAMPINHO,Ultraprocessado,Serviços ambulantes,8,8579,145.7046
CAMORIM,In natura,Açougues / Padarias,8,1383,93.9986
CAMORIM,In natura,Hortifrutigranjeiros,4,1383,93.9986
CAMORIM,In natura,Peixarias,1,1383,93.9986
CAMORIM,Misto,Hipermercados,3,1383,166.3051
CAMORIM,Misto,Mercearias,20,1383,166.3051
CAMORIM,Ultraprocessado,Cantinas / Alimentação preparada,50,1383,845.9870
CAMORIM,Ultraprocessado,Lojas de conveniência / Varejo alimentar,9,1383,845.9870
CAMORIM,Ultraprocessado,Restaurantes / Lanchonetes,46,1383,845.9870
CAMORIM,Ultraprocessado,Serviços ambulantes,12,1383,845.9870
CAMINHO DO JOB - DEODORO,Ultraprocessado,Restaurantes / Lanchonetes,1,,
CAJU,In natura,Açougues / Padarias,25,24116,17.0012
CAJU,In natura,Hortifrutigranjeiros,9,24116,17.0012
CAJU,In natura,Peixarias,7,24116,17.0012
CAJU,Misto,Hipermercados,2,24116,14.9278
CAJU,Misto,Mercearias,33,24116,14.9278
CAJU,Misto,Supermercados,1,24116,14.9278
CAJU,Ultraprocessado,Cantinas / Alimentação preparada,53,24116,84.5911
CAJU,Ultraprocessado,Lojas de conveniência / Varejo alimentar,13,24116,84.5911
CAJU,Ultraprocessado,Restaurantes / Lanchonetes,112,24116,84.5911
CAJU,Ultraprocessado,Serviços ambulantes,26,24116,84.5911
CAIS DO PORTO,Ultraprocessado,Restaurantes / Lanchonetes,1,,
CACUIA,In natura,Açougues / Padarias,10,10392,22.1324
CACUIA,In natura,Hortifrutigranjeiros,8,10392,22.1324
CACUIA,In natura,Peixarias,5,10392,22.1324
CACUIA,Misto,Hipermercados,7,10392,18.2833
CACUIA,Misto,Mercearias,12,10392,18.2833
CACUIA,Ultraprocessado,Cantinas / Alimentação preparada,79,10392,206.8899
CACUIA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,18,10392,206.8899
CACUIA,Ultraprocessado,Restaurantes / Lanchonetes,97,10392,206.8899
CACUIA,Ultraprocessado,Serviços ambulantes,21,10392,206.8899
CACHAMBIA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
CACHAMBI / PILARES,Ultraprocessado,Restaurantes / Lanchonetes,1,,
CACHAMBI,In natura,Açougues / Padarias,50,38673,17.8419
CACHAMBI,In natura,Hortifrutigranjeiros,16,38673,17.8419
CACHAMBI,In natura,Peixarias,3,38673,17.8419
CACHAMBI,Misto,Hipermercados,16,38673,15.5147
CACHAMBI,Misto,Mercearias,36,38673,15.5147
CACHAMBI,Misto,Supermercados,8,38673,15.5147
CACHAMBI,Ultraprocessado,Cantinas / Alimentação preparada,201,38673,165.4901
CACHAMBI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,43,38673,165.4901
CACHAMBI,Ultraprocessado,Restaurantes / Lanchonetes,351,38673,165.4901
CACHAMBI,Ultraprocessado,Serviços ambulantes,45,38673,165.4901
C GRANDE,In natura,Açougues / Padarias,1,,
C GRANDE,Misto,Mercearias,1,,
BRAZ DE PINA,In natura,Açougues / Padarias,42,,
BRAZ DE PINA,In natura,Hortifrutigranjeiros,20,,
BRAZ DE PINA,In natura,Peixarias,11,,
BRAZ DE PINA,Misto,Hipermercados,9,,
BRAZ DE PINA,Misto,Mercearias,34,,
BRAZ DE PINA,Misto,Supermercados,1,,
BRAZ DE PINA,Ultraprocessado,Cantinas / Alimentação preparada,173,,
BRAZ DE PINA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,52,,
BRAZ DE PINA,Ultraprocessado,Restaurantes / Lanchonetes,182,,
BRAZ DE PINA,Ultraprocessado,Serviços ambulantes,41,,
BRAS DE PINA,In natura,Açougues / Padarias,8,45048,2.4418
BRAS DE PINA,In natura,Hortifrutigranjeiros,1,45048,2.4418
BRAS DE PINA,In natura,Peixarias,2,45048,2.4418
BRAS DE PINA,Misto,Hipermercados,1,45048,1.1099
BRAS DE PINA,Misto,Mercearias,4,45048,1.1099
BRAS DE PINA,Ultraprocessado,Cantinas / Alimentação preparada,33,45048,21.0886
BRAS DE PINA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,9,45048,21.0886
BRAS DE PINA,Ultraprocessado,Restaurantes / Lanchonetes,38,45048,21.0886
BRAS DE PINA,Ultraprocessado,Serviços ambulantes,15,45048,21.0886
BOTTFOGO,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BOTAFOGO,In natura,Açougues / Padarias,99,77018,16.6195
BOTAFOGO,In natura,Hortifrutigranjeiros,21,77018,16.6195
BOTAFOGO,In natura,Peixarias,8,77018,16.6195
BOTAFOGO,Misto,Hipermercados,24,77018,10.6469
BOTAFOGO,Misto,Mercearias,46,77018,10.6469
BOTAFOGO,Misto,Supermercados,12,77018,10.6469
BOTAFOGO,Ultraprocessado,Cantinas / Alimentação preparada,464,77018,204.6275
BOTAFOGO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,122,77018,204.6275
BOTAFOGO,Ultraprocessado,Restaurantes / Lanchonetes,921,77018,204.6275
BOTAFOGO,Ultraprocessado,Serviços ambulantes,69,77018,204.6275
BONSUCESSO,In natura,Açougues / Padarias,84,16872,89.4974
BONSUCESSO,In natura,Hortifrutigranjeiros,49,16872,89.4974
BONSUCESSO,In natura,Peixarias,18,16872,89.4974
BONSUCESSO,Misto,Hipermercados,35,16872,80.6069
BONSUCESSO,Misto,Mercearias,92,16872,80.6069
BONSUCESSO,Misto,Supermercados,9,16872,80.6069
BONSUCESSO,Ultraprocessado,Cantinas / Alimentação preparada,253,16872,543.5040
BONSUCESSO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,70,16872,543.5040
BONSUCESSO,Ultraprocessado,Restaurantes / Lanchonetes,497,16872,543.5040
BONSUCESSO,Ultraprocessado,Serviços ambulantes,97,16872,543.5040
BENTO RIBEIRO,In natura,Açougues / Padarias,29,37306,15.5471
BENTO RIBEIRO,In natura,Hortifrutigranjeiros,18,37306,15.5471
BENTO RIBEIRO,In natura,Peixarias,11,37306,15.5471
BENTO RIBEIRO,Misto,Hipermercados,10,37306,19.5679
BENTO RIBEIRO,Misto,Mercearias,58,37306,19.5679
BENTO RIBEIRO,Misto,Supermercados,5,37306,19.5679
BENTO RIBEIRO,Ultraprocessado,Cantinas / Alimentação preparada,231,37306,145.2849
BENTO RIBEIRO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,41,37306,145.2849
BENTO RIBEIRO,Ultraprocessado,Restaurantes / Lanchonetes,209,37306,145.2849
BENTO RIBEIRO,Ultraprocessado,Serviços ambulantes,61,37306,145.2849
BENFICA / MANGUEIRA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BENFICA,In natura,Açougues / Padarias,54,21388,61.2493
BENFICA,In natura,Hortifrutigranjeiros,62,21388,61.2493
BENFICA,In natura,Peixarias,15,21388,61.2493
BENFICA,Misto,Hipermercados,9,21388,35.5339
BENFICA,Misto,Mercearias,63,21388,35.5339
BENFICA,Misto,Supermercados,4,21388,35.5339
BENFICA,Ultraprocessado,Cantinas / Alimentação preparada,158,21388,248.2701
BENFICA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,51,21388,248.2701
BENFICA,Ultraprocessado,Restaurantes / Lanchonetes,275,21388,248.2701
BENFICA,Ultraprocessado,Serviços ambulantes,46,21388,248.2701
BARROS FILHO,In natura,Açougues / Padarias,16,20444,13.6959
BARROS FILHO,In natura,Hortifrutigranjeiros,8,20444,13.6959
BARROS FILHO,In natura,Peixarias,4,20444,13.6959
BARROS FILHO,Misto,Hipermercados,1,20444,12.7177
BARROS FILHO,Misto,Mercearias,24,20444,12.7177
BARROS FILHO,Misto,Supermercados,1,20444,12.7177
BARROS FILHO,Ultraprocessado,Cantinas / Alimentação preparada,55,20444,62.1209
BARROS FILHO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,4,20444,62.1209
BARROS FILHO,Ultraprocessado,Restaurantes / Lanchonetes,47,20444,62.1209
BARROS FILHO,Ultraprocessado,Serviços ambulantes,21,20444,62.1209
BARRADA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA TIJUCA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,,
BARRA OLIMPICA,In natura,Açougues / Padarias,2,56547,0.3537
BARRA OLIMPICA,Misto,Hipermercados,3,56547,1.5916
BARRA OLIMPICA,Misto,Mercearias,6,56547,1.5916
BARRA OLIMPICA,Ultraprocessado,Cantinas / Alimentação preparada,12,56547,6.7201
BARRA OLIMPICA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,2,56547,6.7201
BARRA OLIMPICA,Ultraprocessado,Restaurantes / Lanchonetes,18,56547,6.7201
BARRA OLIMPICA,Ultraprocessado,Serviços ambulantes,6,56547,6.7201
BARRA DE GURATIBA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DE GUARATIBA,In natura,Açougues / Padarias,2,4755,10.5152
BARRA DE GUARATIBA,In natura,Hortifrutigranjeiros,2,4755,10.5152
BARRA DE GUARATIBA,In natura,Peixarias,1,4755,10.5152
BARRA DE GUARATIBA,Misto,Hipermercados,1,4755,25.2366
BARRA DE GUARATIBA,Misto,Mercearias,11,4755,25.2366
BARRA DE GUARATIBA,Ultraprocessado,Cantinas / Alimentação preparada,27,4755,201.8927
BARRA DE GUARATIBA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,7,4755,201.8927
BARRA DE GUARATIBA,Ultraprocessado,Restaurantes / Lanchonetes,55,4755,201.8927
BARRA DE GUARATIBA,Ultraprocessado,Serviços ambulantes,7,4755,201.8927
BARRA DA TUJUCA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DA TIJUCA/ RJ,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DA TIJUCA- RJ,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DA TIJUCA-,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DA TIJUCA / RJ,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BARRA DA TIJUCA,In natura,Açougues / Padarias,227,142263,21.2986
BARRA DA TIJUCA,In natura,Hortifrutigranjeiros,32,142263,21.2986
BARRA DA TIJUCA,In natura,Peixarias,44,142263,21.2986
BARRA DA TIJUCA,Misto,Hipermercados,75,142263,15.8861
BARRA DA TIJUCA,Misto,Mercearias,127,142263,15.8861
BARRA DA TIJUCA,Misto,Supermercados,22,142263,15.8861
BARRA DA TIJUCA,Ultraprocessado,Cantinas / Alimentação preparada,700,142263,220.2962
BARRA DA TIJUCA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,333,142263,220.2962
BARRA DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,1973,142263,220.2962
BARRA DA TIJUCA,Ultraprocessado,Serviços ambulantes,121,142263,220.2962
BARRA  DA TIJUCA,Misto,Supermercados,1,142263,15.8861
BARRA  DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,3,142263,220.2962
BARRA  DA  TIJUCA,Misto,Hipermercados,1,142263,15.8861
BARRA  DA  TIJUCA,Ultraprocessado,Cantinas / Alimentação preparada,2,142263,220.2962
BARCELOS - ROCINHA,In natura,Hortifrutigranjeiros,1,,
BANGU,In natura,Açougues / Padarias,234,211912,21.1880
BANGU,In natura,Hortifrutigranjeiros,150,211912,21.1880
BANGU,In natura,Peixarias,65,211912,21.1880
BANGU,Misto,Hipermercados,82,211912,19.2533
BANGU,Misto,Mercearias,315,211912,19.2533
BANGU,Misto,Supermercados,11,211912,19.2533
BANGU,Ultraprocessado,Cantinas / Alimentação preparada,923,211912,121.0408
BANGU,Ultraprocessado,Lojas de conveniência / Varejo alimentar,188,211912,121.0408
BANGU,Ultraprocessado,Restaurantes / Lanchonetes,1133,211912,121.0408
BANGU,Ultraprocessado,Serviços ambulantes,321,211912,121.0408
BANCARIOS ILHA DO GOVERNADOR,Ultraprocessado,Cantinas / Alimentação preparada,1,,
BANCARIOS,In natura,Açougues / Padarias,10,11062,19.8879
BANCARIOS,In natura,Peixarias,12,11062,19.8879
BANCARIOS,Misto,Hipermercados,3,11062,17.1759
BANCARIOS,Misto,Mercearias,16,11062,17.1759
BANCARIOS,Ultraprocessado,Cantinas / Alimentação preparada,71,11062,139.2153
BANCARIOS,Ultraprocessado,Lojas de conveniência / Varejo alimentar,8,11062,139.2153
BANCARIOS,Ultraprocessado,Restaurantes / Lanchonetes,66,11062,139.2153
BANCARIOS,Ultraprocessado,Serviços ambulantes,9,11062,139.2153
BAIRRO DA PEDREIRA - COSTA BARROS,Ultraprocessado,Restaurantes / Lanchonetes,1,,
BAIRRO DA PEDREIRA - COSTA BARROS,Ultraprocessado,Serviços ambulantes,2,,
BAARA DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
ASA BRANCA - RECREIO  DOS BANDEIRANTES,Ultraprocessado,Cantinas / Alimentação preparada,1,,
ASA BRANCA - RECREIO  DOS BANDEIRANTES,Ultraprocessado,Restaurantes / Lanchonetes,3,,
ARAUJO DE COSMOS,Ultraprocessado,Restaurantes / Lanchonetes,1,,
ANIL/JACAREPAGUA,Ultraprocessado,Cantinas / Alimentação preparada,1,,
ANIL-JACAREPAGUA,Misto,Mercearias,1,,
ANIL JPA,Misto,Hipermercados,1,,
ANIL / RIO DAS PEDRAS,Ultraprocessado,Restaurantes / Lanchonetes,1,,
ANIL - JACAREPGUA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
ANIL,In natura,Açougues / Padarias,66,31895,37.3099
ANIL,In natura,Hortifrutigranjeiros,35,31895,37.3099
ANIL,In natura,Peixarias,18,31895,37.3099
ANIL,Misto,Hipermercados,31,31895,37.9370
ANIL,Misto,Mercearias,87,31895,37.9370
ANIL,Misto,Supermercados,3,31895,37.9370
ANIL,Ultraprocessado,Cantinas / Alimentação preparada,266,31895,238.2819
ANIL,Ultraprocessado,Lojas de conveniência / Varejo alimentar,61,31895,238.2819
ANIL,Ultraprocessado,Restaurantes / Lanchonetes,362,31895,238.2819
ANIL,Ultraprocessado,Serviços ambulantes,71,31895,238.2819
ANDARAY,Ultraprocessado,Restaurantes / Lanchonetes,1,,
ANDARAI,In natura,Açougues / Padarias,31,34576,13.3040
ANDARAI,In natura,Hortifrutigranjeiros,10,34576,13.3040
ANDARAI,In natura,Peixarias,5,34576,13.3040
ANDARAI,Misto,Hipermercados,10,34576,9.8334
ANDARAI,Misto,Mercearias,23,34576,9.8334
ANDARAI,Misto,Supermercados,1,34576,9.8334
ANDARAI,Ultraprocessado,Cantinas / Alimentação preparada,130,34576,111.9273
ANDARAI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,37,34576,111.9273
ANDARAI,Ultraprocessado,Restaurantes / Lanchonetes,187,34576,111.9273
ANDARAI,Ultraprocessado,Serviços ambulantes,33,34576,111.9273
ANCHIETA,In natura,Açougues / Padarias,53,52095,17.8520
ANCHIETA,In natura,Hortifrutigranjeiros,29,52095,17.8520
ANCHIETA,In natura,Peixarias,11,52095,17.8520
ANCHIETA,Misto,Hipermercados,9,52095,16.7003
ANCHIETA,Misto,Mercearias,74,52095,16.7003
ANCHIETA,Misto,Supermercados,4,52095,16.7003
ANCHIETA,Ultraprocessado,Cantinas / Alimentação preparada,253,52095,121.1249
ANCHIETA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,33,52095,121.1249
ANCHIETA,Ultraprocessado,Restaurantes / Lanchonetes,268,52095,121.1249
ANCHIETA,Ultraprocessado,Serviços ambulantes,77,52095,121.1249
ALTO DA BOA VISTA,In natura,Açougues / Padarias,7,9831,15.2579
ALTO DA BOA VISTA,In natura,Hortifrutigranjeiros,7,9831,15.2579
ALTO DA BOA VISTA,In natura,Peixarias,1,9831,15.2579
ALTO DA BOA VISTA,Misto,Hipermercados,2,9831,9.1547
ALTO DA BOA VISTA,Misto,Mercearias,6,9831,9.1547
ALTO DA BOA VISTA,Misto,Supermercados,1,9831,9.1547
ALTO DA BOA VISTA,Ultraprocessado,Cantinas / Alimentação preparada,58,9831,119.0113
ALTO DA BOA VISTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,8,9831,119.0113
ALTO DA BOA VISTA,Ultraprocessado,Restaurantes / Lanchonetes,38,9831,119.0113
ALTO DA BOA VISTA,Ultraprocessado,Serviços ambulantes,13,9831,119.0113
ALDEIA CAMPISTA,In natura,Peixarias,1,,
ALDEIA CAMPISTA,Ultraprocessado,Restaurantes / Lanchonetes,4,,
AGULHAS NEGRAS - CAMPO GRANDE,In natura,Hortifrutigranjeiros,1,,
AGULHAS NEGRAS - CAMPO GRANDE,Misto,Mercearias,1,,
AGULHAS NEGRAS - CAMPO GRANDE,Ultraprocessado,Cantinas / Alimentação preparada,3,,
AGULHAS NEGRAS - CAMPO GRANDE,Ultraprocessado,Restaurantes / Lanchonetes,1,,
AGULHAS NEGRAS - CAMPO GRANDE,Ultraprocessado,Serviços ambulantes,1,,
AGUA SANTA,In natura,Açougues / Padarias,3,6419,6.2315
AGUA SANTA,In natura,Hortifrutigranjeiros,1,6419,6.2315
AGUA SANTA,Misto,Hipermercados,1,6419,18.6945
AGUA SANTA,Misto,Mercearias,9,6419,18.6945
AGUA SANTA,Misto,Supermercados,2,6419,18.6945
AGUA SANTA,Ultraprocessado,Cantinas / Alimentação preparada,25,6419,81.0095
AGUA SANTA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,3,6419,81.0095
AGUA SANTA,Ultraprocessado,Restaurantes / Lanchonetes,18,6419,81.0095
AGUA SANTA,Ultraprocessado,Serviços ambulantes,6,6419,81.0095
ACARI,In natura,Açougues / Padarias,23,29673,16.1763
ACARI,In natura,Hortifrutigranjeiros,17,29673,16.1763
ACARI,In natura,Peixarias,8,29673,16.1763
ACARI,Misto,Hipermercados,7,29673,16.5133
ACARI,Misto,Mercearias,42,29673,16.5133
ACARI,Ultraprocessado,Cantinas / Alimentação preparada,64,29673,62.0092
ACARI,Ultraprocessado,Lojas de conveniência / Varejo alimentar,14,29673,62.0092
ACARI,Ultraprocessado,Restaurantes / Lanchonetes,68,29673,62.0092
ACARI,Ultraprocessado,Serviços ambulantes,38,29673,62.0092
ABOLICAO,In natura,Açougues / Padarias,9,9196,13.0492
ABOLICAO,In natura,Hortifrutigranjeiros,3,9196,13.0492
ABOLICAO,Misto,Hipermercados,6,9196,14.1366
ABOLICAO,Misto,Mercearias,6,9196,14.1366
ABOLICAO,Misto,Supermercados,1,9196,14.1366
ABOLICAO,Ultraprocessado,Cantinas / Alimentação preparada,56,9196,142.4532
ABOLICAO,Ultraprocessado,Lojas de conveniência / Varejo alimentar,13,9196,142.4532
ABOLICAO,Ultraprocessado,Restaurantes / Lanchonetes,50,9196,142.4532
ABOLICAO,Ultraprocessado,Serviços ambulantes,12,9196,142.4532
ABOICAO,In natura,Peixarias,1,,
 PECHINCHA-JACAREPAGUA,Ultraprocessado,Restaurantes / Lanchonetes,1,,
 DEL CASTILHO,Ultraprocessado,Restaurantes / Lanchonetes,1,20597,221.3915
 BENFICA,Ultraprocessado,Lojas de conveniência / Varejo alimentar,1,21388,248.2701
     BARRA DA TIJUCA,Ultraprocessado,Restaurantes / Lanchonetes,2,142263,220.2962
