id,tipo,nome,endereco,bairro,cidade,uf,pais,endereco_completo
572bda8fe5e7,Cozinha Comunitária,COZINHA COMUNITÁRIA SUPERANDO JUNTOS,"Rua Conde Pereira Carneiro, 11 (Ipase/Vila Kosmos)",Vila Kosmos,Rio de Janeiro,RJ,Brasil,"Rua Conde Pereira Carneiro, 11 (Ipase/Vila Kosmos), Vila Kosmos, Rio de Janeiro, RJ, Brasil"
8fb39279ae9d,Cozinha Comunitária,COZINHA COMUNITÁRIA TIA CÉLIA,"Rua Pão de Açúcar, 140",Rocha Miranda,Rio de Janeiro,RJ,Brasil,"Rua Pão de Açúcar, 140, Rocha Miranda, Rio de Janeiro, RJ, Brasil"
49945f7584ee,Cozinha Comunitária,COZINHA COMUNITÁRIA VILA KENNEDY,"Travessa Orizaba, 43",Vila Kennedy,Rio de Janeiro,RJ,Brasil,"Travessa Orizaba, 43, Vila Kennedy, Rio de Janeiro, RJ, Brasil"
a0508a1a4c35,Cozinha Comunitária,COZINHA COMUNITÁRIA VILMA MARIA,"Rua Sá Viana, 269 (Associação de Moradores do Andaraí)",Andaraí,Rio de Janeiro,RJ,Brasil,"Rua Sá Viana, 269 (Associação de Moradores do Andaraí), Andaraí, Rio de Janeiro, RJ, Brasil"
de549bc347b4,Cozinha Comunitária,COZINHA COMUNITÁRIA VÓ ONÍLIA,"Rua Nova, 08 (Pistão)",Parada de Lucas,Rio de Janeiro,RJ,Brasil,"Rua Nova, 08 (Pistão), Parada de Lucas, Rio de Janeiro, RJ, Brasil"
f994e025ac1e,Cozinha Comunitária,COZINHA COMUNITÁRIA YURI REIS,"Rua Caraíba, 808",Rocha Miranda,Rio de Janeiro,RJ,Brasil,"Rua Caraíba, 808, Rocha Miranda, Rio de Janeiro, RJ, Brasil"
9e3c34ba6acf,Cozinha Comunitária,FORÇA PAVUNA E ANCHIETA,"Rua Coronel Moreira Cesar, 1243",Pavuna,Rio de Janeiro,RJ,Brasil,"Rua Coronel Moreira Cesar, 1243, Pavuna, Rio de Janeiro, RJ, Brasil"
40999ab453bb,Cozinha Comunitária,FRENTE MARÉ,"Rua Projetada D, 174 (Salsa e Merengue)",Maré,Rio de Janeiro,RJ,Brasil,"Rua Projetada D, 174 (Salsa e Merengue), Maré, Rio de Janeiro, RJ, Brasil"
c61ebe2a18cc,Cozinha Comunitária,FUTURO DO BEM,"Rua Tapirai, 41C",Barros Filho,Rio de Janeiro,RJ,Brasil,"Rua Tapirai, 41C, Barros Filho, Rio de Janeiro, RJ, Brasil"
4d12658618c1,Cozinha Comunitária,GEID,"Rua Romancista, 96",Freguesia (Ilha do Governador),Rio de Janeiro,RJ,Brasil,"Rua Romancista, 96, Freguesia (Ilha do Governador), Rio de Janeiro, RJ, Brasil"
1a9635c13842,Cozinha Comunitária,INSTITUTO SOL,"Rua Jundiá, 176",Bento Ribeiro,Rio de Janeiro,RJ,Brasil,"Rua Jundiá, 176, Bento Ribeiro, Rio de Janeiro, RJ, Brasil"
67444fb5f51b,Cozinha Comunitária,INSTITUTO VIDA – TERREIRÃO,"Rua Jarbas de Carvalho, 1580",Recreio,Rio de Janeiro,RJ,Brasil,"Rua Jarbas de Carvalho, 1580, Recreio, Rio de Janeiro, RJ, Brasil"
afa1a124f31b,Cozinha Comunitária,TUIUTI,"Rua Curuzu, 70",São Cristóvão,Rio de Janeiro,RJ,Brasil,"Rua Curuzu, 70, São Cristóvão, Rio de Janeiro, RJ, Brasil"
0c22a64f6b65,Cozinha Comunitária,NEAC,"Estrada Iaraquá, 375 (Comari)",Campo Grande,Rio de Janeiro,RJ,Brasil,"Estrada Iaraquá, 375 (Comari), Campo Grande, Rio de Janeiro, RJ, Brasil"
fd824aa802a2,Cozinha Comunitária,NOVA HOLANDA,"Rua Bittencourt Sampaio, 140",Nova Holanda (Maré),Rio de Janeiro,RJ,Brasil,"Rua Bittencourt Sampaio, 140, Nova Holanda (Maré), Rio de Janeiro, RJ, Brasil"
d322f4f7afe2,Cozinha Comunitária,PROJETO NOVO VIVER,"Rua João Alfredo de Freitas, 88",Anchieta,Rio de Janeiro,RJ,Brasil,"Rua João Alfredo de Freitas, 88, Anchieta, Rio de Janeiro, RJ, Brasil"
2331f5c299b9,Cozinha Comunitária,PROESPV,"Estrada do Magarça, 3982",Guaratiba,Rio de Janeiro,RJ,Brasil,"Estrada do Magarça, 3982, Guaratiba, Rio de Janeiro, RJ, Brasil"
a928227ba6f5,Cozinha Comunitária,PROVIDÊNCIA,"Rua da Gamboa, 21",Santo Cristo,Rio de Janeiro,RJ,Brasil,"Rua da Gamboa, 21, Santo Cristo, Rio de Janeiro, RJ, Brasil"
abc980c6d4cf,Cozinha Comunitária,QG DA CIDADANIA,"Estrada de Botafogo, 369",Costa Barros,Rio de Janeiro,RJ,Brasil,"Estrada de Botafogo, 369, Costa Barros, Rio de Janeiro, RJ, Brasil"
2189c3cfce6c,Cozinha Comunitária,RENASCENÇA,"Rua Barão de São Francisco, 54",Andaraí,Rio de Janeiro,RJ,Brasil,"Rua Barão de São Francisco, 54, Andaraí, Rio de Janeiro, RJ, Brasil"
dbbc6f668514,Cozinha Comunitária,UNIÃO BANGU,"Rua da Chita, 638",Bangu,Rio de Janeiro,RJ,Brasil,"Rua da Chita, 638, Bangu, Rio de Janeiro, RJ, Brasil"
2928872eae52,Cozinha Comunitária,UNIÃO DE MORADORES DA VILA PROGRESSO,"Rua Major João Gualberto da Silva Braga, 2",Vila Kennedy,Rio de Janeiro,RJ,Brasil,"Rua Major João Gualberto da Silva Braga, 2, Vila Kennedy, Rio de Janeiro, RJ, Brasil"
