id,tipo,nome,endereco,bairro,cidade,uf,pais,endereco_completo,fonte
6eea33a58de1,Horta Urbana (Hortas Cariocas),Associação de Moradores do Capão,"Rua Corrêa Seara, 97 - Magalhães Bastos, Rio de Janeiro",Magalhães Bastos,Rio de Janeiro,RJ,Brasil,"Rua Corrêa Seara, 97 - Magalhães Bastos, Rio de Janeiro, Magalhães Bastos, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
71aa3e720363,Horta Urbana (Hortas Cariocas),Escola Municipal República do Líbano,"Praça Elba, 1215 - Vigário Geral, Rio de Janeiro",Vigário Geral,Rio de Janeiro,RJ,Brasil,"Praça Elba, 1215 - Vigário Geral, Rio de Janeiro, Vigário Geral, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
730c72021b68,Horta Urbana (Hortas Cariocas),CIEP Samora Machel,"Rua Principal, s/nº - Maré, Rio de Janeiro",Maré,Rio de Janeiro,RJ,Brasil,"Rua Principal, s/nº - Maré, Rio de Janeiro, Maré, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
733d24987903,Horta Urbana (Hortas Cariocas),Escola Municipal Rodrigo Otávio,"Rua Antônio de Almeida, 11- Portuguesa, Ilha do Governador, Rio de Janeiro",Ilha do Governador,Rio de Janeiro,RJ,Brasil,"Rua Antônio de Almeida, 11- Portuguesa, Ilha do Governador, Rio de Janeiro, Ilha do Governador, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
80bfcf0af394,Horta Urbana (Hortas Cariocas),CIEP Alberto Pasqualini,"Rua Cilon Cunha Brum, s/nº - Paciência, Rio de Janeiro",Paciência,Rio de Janeiro,RJ,Brasil,"Rua Cilon Cunha Brum, s/nº - Paciência, Rio de Janeiro, Paciência, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
8246c121b1d5,Horta Urbana (Hortas Cariocas),Jardim Batan,"Rua Jerusalém, 30 - Realengo, Rio de Janeiro",Realengo,Rio de Janeiro,RJ,Brasil,"Rua Jerusalém, 30 - Realengo, Rio de Janeiro, Realengo, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
82794814c764,Horta Urbana (Hortas Cariocas),Cidade de Deus,"Rua Quintanilha, s/nº - Jacarepaguá, Rio de Janeiro",Jacarepaguá,Rio de Janeiro,RJ,Brasil,"Rua Quintanilha, s/nº - Jacarepaguá, Rio de Janeiro, Jacarepaguá, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
842e65413ff0,Horta Urbana (Hortas Cariocas),Javatá,"Rua Javatá, s/nº - Anchieta, Rio de Janeiro",Anchieta,Rio de Janeiro,RJ,Brasil,"Rua Javatá, s/nº - Anchieta, Rio de Janeiro, Anchieta, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
85040069a93e,Horta Urbana (Hortas Cariocas),Associação dos Moradores do Conjunto Ayrton Senna,"Estrada do Gericinó,80 - Bangu, Rio de Janeiro",Bangu,Rio de Janeiro,RJ,Brasil,"Estrada do Gericinó,80 - Bangu, Rio de Janeiro, Bangu, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
8cca2983245d,Horta Urbana (Hortas Cariocas),Escola Municipal Cardeal Câmara,"Av. Brás de Pina, 1614 - Brás de Pina, Rio de Janeiro",Brás de Pina,Rio de Janeiro,RJ,Brasil,"Av. Brás de Pina, 1614 - Brás de Pina, Rio de Janeiro, Brás de Pina, Rio de Janeiro, RJ, Brasil",Dissertação (Anexo A: Localização das hortas)
