endereco,bairro,dia,horario,ra,cidade,uf,pais,endereco_completo,id,lat,lon,geocode_status,geocode_provider,precision
RUAS ALEXANDRE RAMOS E CORONEL TEDIM,TANQUE,Quarta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"RUAS ALEXANDRE RAMOS E CORONEL TEDIM, TANQUE, Rio de Janeiro, RJ, Brasil",711399a943a5,,,pending,,
RUA BARÃO,PRACA SECA,Domingo,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"RUA BARÃO, PRACA SECA, Rio de Janeiro, RJ, Brasil",c434ad977eac,,,pending,,
"DAS MARGARIDAS, RUA",VILA VALQUEIRE,Quinta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"DAS MARGARIDAS, RUA, VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil",f4363c6252f1,,,pending,,
"JAMBEIRO, AVN",VILA VALQUEIRE,Domingo,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"JAMBEIRO, AVN, VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil",55891316f342,,,pending,,
"SAO PERPETUO, PCA",BARRA DA TIJUCA,Domingo,07:00 H ÀS 13:00 H,24-Barra da Tijuca,Rio de Janeiro,RJ,Brasil,"SAO PERPETUO, PCA, BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil",49a74441253c,,,pending,,
"SAO PERPETUO, PRC",BARRA DA TIJUCA,Quinta-Feira,07:00 H ÀS 13:00 H,24-Barra da Tijuca,Rio de Janeiro,RJ,Brasil,"SAO PERPETUO, PRC, BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil",e5d4b4bfdc87,,,pending,,
"OLIMPIO DE CASTRO, RUA",CAMPO DOS AFONSOS,Quarta-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"OLIMPIO DE CASTRO, RUA, CAMPO DOS AFONSOS, Rio de Janeiro, RJ, Brasil",d293921ca16d,,,pending,,
"ABRANTES, RUA",MAGALHAES BASTOS,Sexta-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"ABRANTES, RUA, MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil",af4a374dc35e,,,pending,,
"SAO CAETANO, RUA",MAGALHAES BASTOS,Terça-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"SAO CAETANO, RUA, MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil",54c56a673482,,,pending,,
"MAL MODESTINO, RUA",REALENGO,Domingo,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"MAL MODESTINO, RUA, REALENGO, Rio de Janeiro, RJ, Brasil",6d9ab8ff65a8,,,pending,,
"EUNAPIO DEIRO, RUA",REALENGO,Sábado,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"EUNAPIO DEIRO, RUA, REALENGO, Rio de Janeiro, RJ, Brasil",79dcfc880f26,,,pending,,
"MANUEL NOGUEIRA DE SA, ETR",REALENGO,Domingo,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"MANUEL NOGUEIRA DE SA, ETR, REALENGO, Rio de Janeiro, RJ, Brasil",5b9ef899c45e,,,pending,,
"HELIANTO, RUA",PADRE MIGUEL,Sábado,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"HELIANTO, RUA, PADRE MIGUEL, Rio de Janeiro, RJ, Brasil",eeaad6a9b03b,,,pending,,
"IGUATAMA, PRÇ",BANGU,Sábado,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"IGUATAMA, PRÇ, BANGU, Rio de Janeiro, RJ, Brasil",5ea4e98dcee9,,,pending,,
"PROF CLEMENTE FERREIRA, RUA",BANGU,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"PROF CLEMENTE FERREIRA, RUA, BANGU, Rio de Janeiro, RJ, Brasil",a607f159cd87,,,pending,,
"MAL MARCIANO, RUA",BANGU,Quarta-Feira,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"MAL MARCIANO, RUA, BANGU, Rio de Janeiro, RJ, Brasil",50e6c2b93b73,,,pending,,
"CHERBURGO, RUA",BANGU,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"CHERBURGO, RUA, BANGU, Rio de Janeiro, RJ, Brasil",a7c2a25d716f,,,pending,,
"URUCUM, RUA",BANGU,Quinta-Feira,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"URUCUM, RUA, BANGU, Rio de Janeiro, RJ, Brasil",0901d39e125a,,,pending,,
"CARNAUBA, RUA",SENADOR CAMARA,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"CARNAUBA, RUA, SENADOR CAMARA, Rio de Janeiro, RJ, Brasil",196d48f229f9,,,pending,,
"CAMPO MAIOR / AV MARIANA, RUA",CAMPO GRANDE,Terça-Feira,07:00 H ÀS 14:30 H,18-Campo Grande,Rio de Janeiro,RJ,Brasil,"CAMPO MAIOR / AV MARIANA, RUA, CAMPO GRANDE, Rio de Janeiro, RJ, Brasil",2d7f2259c791,,,pending,,
"LAUDELINO VIEIRA DE CAMPOS, RUA",CAMPO GRANDE,Domingo,07:00 H ÀS 14:30 H,18-Campo Grande,Rio de Janeiro,RJ,Brasil,"LAUDELINO VIEIRA DE CAMPOS, RUA, CAMPO GRANDE, Rio de Janeiro, RJ, Brasil",5722e269a765,,,pending,,
"CAMPEIRO-MOR, RUA",SANTA CRUZ,Terça-Feira,07:00 H ÀS 14:30 H,19-Santa Cruz,Rio de Janeiro,RJ,Brasil,"CAMPEIRO-MOR, RUA, SANTA CRUZ, Rio de Janeiro, RJ, Brasil",ca29318ff097,,,pending,,
"FLORESTA, RUA",SEPETIBA,Sábado,07:00 H ÀS 14:30 H,19-Santa Cruz,Rio de Janeiro,RJ,Brasil,"FLORESTA, RUA, SEPETIBA, Rio de Janeiro, RJ, Brasil",74547a91b526,,,pending,,
"ROBERTO DA SILVEIRA, RUA/PARQUE UNIAO",MARE,Quarta-Feira,07:00 H ÀS 14:30 H,30-Complexo da Maré,Rio de Janeiro,RJ,Brasil,"ROBERTO DA SILVEIRA, RUA/PARQUE UNIAO, MARE, Rio de Janeiro, RJ, Brasil",892096642ace,,,pending,,
