endereco,bairro,dia,horario,ra,cidade,uf,pais,endereco_completo,id,lat,lon,geocode_status,geocode_provider,precision,geocode_precision,geocode_query
"FLORANIA, RUA",VISTA ALEGRE,Sexta-Feira,07:00 H ÀS 14:30 H,14-Irajá,Rio de Janeiro,RJ,Brasil,"FLORANIA, RUA, VISTA ALEGRE, Rio de Janeiro, RJ, Brasil",323d0ef76a4b,-22.8296244,-43.3151276,ok,nominatim,,neighborhood,"VISTA ALEGRE, Rio de Janeiro, RJ, Brasil"
"PONTA PORA, RUA",VISTA ALEGRE,Domingo,07:00 H ÀS 14:30 H,14-Irajá,Rio de Janeiro,RJ,Brasil,"PONTA PORA, RUA, VISTA ALEGRE, Rio de Janeiro, RJ, Brasil",aa848bc1876b,-22.8296244,-43.3151276,ok,nominatim,,neighborhood,"VISTA ALEGRE, Rio de Janeiro, RJ, Brasil"
"MARQUES DE QUELUZ, RUA",IRAJA,Domingo,07:00 H ÀS 14:30 H,14-Irajá,Rio de Janeiro,RJ,Brasil,"MARQUES DE QUELUZ, RUA, IRAJA, Rio de Janeiro, RJ, Brasil",1ddf7a8501a7,-22.8431439,-43.324589,ok,nominatim,,street,"MARQUES DE QUELUZ, RUA, IRAJA, Rio de Janeiro, RJ, Brasil"
"TENENTE REBELO, AVN",IRAJA,Quarta-Feira,07:00 H ÀS 14:30 H,14-Irajá,Rio de Janeiro,RJ,Brasil,"TENENTE REBELO, AVN, IRAJA, Rio de Janeiro, RJ, Brasil",dcfad11c4309,-22.8351129,-43.3233619,ok,nominatim,,neighborhood,"IRAJA, Rio de Janeiro, RJ, Brasil"
"LOPES FERREIRA, RUA",IRAJA,Sexta-Feira,07:00 H ÀS 14:30 H,14-Irajá,Rio de Janeiro,RJ,Brasil,"LOPES FERREIRA, RUA, IRAJA, Rio de Janeiro, RJ, Brasil",f09abedf13e2,-22.8351129,-43.3233619,ok,nominatim,,neighborhood,"IRAJA, Rio de Janeiro, RJ, Brasil"
"ANA TELES, RUA",CAMPINHO,Terça-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"ANA TELES, RUA, CAMPINHO, Rio de Janeiro, RJ, Brasil",65fc5408fc06,-22.8852187,-43.347738,ok,nominatim,,neighborhood,"CAMPINHO, Rio de Janeiro, RJ, Brasil"
"EUFRASIO CORREA, RUA",QUINTINO BOCAIUVA,Quarta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"EUFRASIO CORREA, RUA, QUINTINO BOCAIUVA, Rio de Janeiro, RJ, Brasil",60266084fde2,-22.8955889,-43.3253269,ok,nominatim,,neighborhood,"QUINTINO BOCAIUVA, Rio de Janeiro, RJ, Brasil"
"LAURINDO FILHO, RUA",CAVALCANTI,Sábado,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"LAURINDO FILHO, RUA, CAVALCANTI, Rio de Janeiro, RJ, Brasil",b6e27b99a84a,-22.8705266,-43.3165261,ok,nominatim,,neighborhood,"CAVALCANTI, Rio de Janeiro, RJ, Brasil"
"VALERIO, RUA",ENGENHEIRO LEAL,Quarta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"VALERIO, RUA, ENGENHEIRO LEAL, Rio de Janeiro, RJ, Brasil",ddaaa1cc7061,-22.8743923,-43.3255315,ok,nominatim,,neighborhood,"ENGENHEIRO LEAL, Rio de Janeiro, RJ, Brasil"
"CAETANO DA SILVA, RUA",CASCADURA,Sexta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"CAETANO DA SILVA, RUA, CASCADURA, Rio de Janeiro, RJ, Brasil",2896bbafcbc0,-22.8841816,-43.3283969,ok,nominatim,,neighborhood,"CASCADURA, Rio de Janeiro, RJ, Brasil"
"HENRIQUE BRAGA, RUA",MADUREIRA,Quinta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"HENRIQUE BRAGA, RUA, MADUREIRA, Rio de Janeiro, RJ, Brasil",84c5a6993c86,-22.871658,-43.3371976,ok,nominatim,,neighborhood,"MADUREIRA, Rio de Janeiro, RJ, Brasil"
"OPERARIO SADOCK DE SA, RUA",MADUREIRA,Domingo,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"OPERARIO SADOCK DE SA, RUA, MADUREIRA, Rio de Janeiro, RJ, Brasil",c7c910db7154,-22.871658,-43.3371976,ok,nominatim,,neighborhood,"MADUREIRA, Rio de Janeiro, RJ, Brasil"
RUA OLIVEIRA FIGUEIREDO,VAZ LOBO,Terça-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"RUA OLIVEIRA FIGUEIREDO, VAZ LOBO, Rio de Janeiro, RJ, Brasil",0a424d266e8d,-22.857214,-43.3272147,ok,nominatim,,street,"RUA OLIVEIRA FIGUEIREDO, VAZ LOBO, Rio de Janeiro, RJ, Brasil"
"JACINA, RUA",VAZ LOBO,Sábado,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"JACINA, RUA, VAZ LOBO, Rio de Janeiro, RJ, Brasil",c4bf862cf297,-22.8589721,-43.3278646,ok,nominatim,,neighborhood,"VAZ LOBO, Rio de Janeiro, RJ, Brasil"
"RUBIS, RUA",ROCHA MIRANDA,Segunda-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"RUBIS, RUA, ROCHA MIRANDA, Rio de Janeiro, RJ, Brasil",3b38fbce3140,-22.8503472,-43.3463053,ok,nominatim,,neighborhood,"ROCHA MIRANDA, Rio de Janeiro, RJ, Brasil"
"JURUBAIBA, RUA",HONORIO GURGEL,Sábado,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"JURUBAIBA, RUA, HONORIO GURGEL, Rio de Janeiro, RJ, Brasil",da6cec0c8372,-22.8465751,-43.3561294,ok,nominatim,,neighborhood,"HONORIO GURGEL, Rio de Janeiro, RJ, Brasil"
"ADELAIDE BADAJOS, RUA",OSWALDO CRUZ,Quarta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"ADELAIDE BADAJOS, RUA, OSWALDO CRUZ, Rio de Janeiro, RJ, Brasil",8dfc834d8411,-22.8705266,-43.350194,ok,nominatim,,neighborhood,"OSWALDO CRUZ, Rio de Janeiro, RJ, Brasil"
"TERESA SANTOS, RUA",BENTO RIBEIRO,Sexta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"TERESA SANTOS, RUA, BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil",0d9da85851c5,-22.8666607,-43.3608367,ok,nominatim,,neighborhood,"BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil"
"OBIDOS, RUA",BENTO RIBEIRO,Terça-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"OBIDOS, RUA, BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil",ca6a772b2eaa,-22.8666607,-43.3608367,ok,nominatim,,neighborhood,"BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil"
"SAPOPEMBA, RUA",BENTO RIBEIRO,Quarta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"SAPOPEMBA, RUA, BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil",64c35ecf1ced,-22.8666607,-43.3608367,ok,nominatim,,neighborhood,"BENTO RIBEIRO, Rio de Janeiro, RJ, Brasil"
"JORGE SCHMIDT, RUA",MARECHAL HERMES,Quinta-Feira,07:00 H ÀS 14:30 H,15-Madureira,Rio de Janeiro,RJ,Brasil,"JORGE SCHMIDT, RUA, MARECHAL HERMES, Rio de Janeiro, RJ, Brasil",4f38e7df64eb,-22.8599658,-43.3704561,ok,nominatim,,neighborhood,"MARECHAL HERMES, Rio de Janeiro, RJ, Brasil"
"FERNANDES DA FONSECA, RUA",RIBEIRA,Sábado,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"FERNANDES DA FONSECA, RUA, RIBEIRA, Rio de Janeiro, RJ, Brasil",43b9430a031b,-22.8252399,-43.1705907,ok,nominatim,,neighborhood,"RIBEIRA, Rio de Janeiro, RJ, Brasil"
"SARGENTO JOAO LOPES, RUA",CACUIA,Domingo,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"SARGENTO JOAO LOPES, RUA, CACUIA, Rio de Janeiro, RJ, Brasil",3b4ec3bb8ea1,-22.8217028,-43.1837917,ok,nominatim,,neighborhood,"CACUIA, Rio de Janeiro, RJ, Brasil"
"ARUJA, RUA",FREGUESIA(ILHA),Quinta-Feira,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"ARUJA, RUA, FREGUESIA(ILHA), Rio de Janeiro, RJ, Brasil",1b13a40375da,-22.7850602,-43.1694534,ok,nominatim,,neighborhood,"FREGUESIA(ILHA), Rio de Janeiro, RJ, Brasil"
"FRANCISCO ALVES, AVN",JARDIM GUANABARA,Sexta-Feira,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"FRANCISCO ALVES, AVN, JARDIM GUANABARA, Rio de Janeiro, RJ, Brasil",fa0eba1993ec,-22.8128362,-43.2007792,ok,nominatim,,neighborhood,"JARDIM GUANABARA, Rio de Janeiro, RJ, Brasil"
"PROF HILARIAO DA ROCHA, RUA",TAUA,Segunda-Feira,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"PROF HILARIAO DA ROCHA, RUA, TAUA, Rio de Janeiro, RJ, Brasil",f569c3124992,-22.7977495,-43.1867478,ok,nominatim,,neighborhood,"TAUA, Rio de Janeiro, RJ, Brasil"
GOVERNADOR,PORTUGUESA,Quinta-Feira,07:00 H ÀS 13:00 H,20-Ilha do Governador,Rio de Janeiro,RJ,Brasil,"GOVERNADOR, PORTUGUESA, Rio de Janeiro, RJ, Brasil",6ebdad8885e5,-22.7960509,-43.2046447,ok,nominatim,,street,"GOVERNADOR, PORTUGUESA, Rio de Janeiro, RJ, Brasil"
RUA BÉTULA,GUADALUPE,Domingo,07:00 H ÀS 14:30 H,22-Anchieta,Rio de Janeiro,RJ,Brasil,"RUA BÉTULA, GUADALUPE, Rio de Janeiro, RJ, Brasil",4fd84c7452cc,-22.8414181,-43.3780048,ok,nominatim,,street,"RUA BÉTULA, GUADALUPE, Rio de Janeiro, RJ, Brasil"
"LOASA, RUA",GUADALUPE,Quinta-Feira,07:00 H ÀS 14:30 H,22-Anchieta,Rio de Janeiro,RJ,Brasil,"LOASA, RUA, GUADALUPE, Rio de Janeiro, RJ, Brasil",dad76067db7c,-22.8376208,-43.3751608,ok,nominatim,,neighborhood,"GUADALUPE, Rio de Janeiro, RJ, Brasil"
"ENEAS MARTINS, RUA",GUADALUPE,Quinta-Feira,07:00 H ÀS 14:30 H,22-Anchieta,Rio de Janeiro,RJ,Brasil,"ENEAS MARTINS, RUA, GUADALUPE, Rio de Janeiro, RJ, Brasil",cc416b958d5b,-22.8376208,-43.3751608,ok,nominatim,,neighborhood,"GUADALUPE, Rio de Janeiro, RJ, Brasil"
"PEREIRA DA ROCHA/ADEQUÊ, RUA",RICARDO DE ALBUQUERQUE,Domingo,07:00 H ÀS 14:30 H,22-Anchieta,Rio de Janeiro,RJ,Brasil,"PEREIRA DA ROCHA/ADEQUÊ, RUA, RICARDO DE ALBUQUERQUE, Rio de Janeiro, RJ, Brasil",697e4a723c08,-22.8366987,-43.3916757,ok,nominatim,,neighborhood,"RICARDO DE ALBUQUERQUE, Rio de Janeiro, RJ, Brasil"
"OUSELEY, RUA",COELHO NETO,Domingo,07:00 H ÀS 14:30 H,25-Pavuna,Rio de Janeiro,RJ,Brasil,"OUSELEY, RUA, COELHO NETO, Rio de Janeiro, RJ, Brasil",1b1c38d87856,-22.8322449,-43.3501913,ok,nominatim,,neighborhood,"COELHO NETO, Rio de Janeiro, RJ, Brasil"
"PROF VIRGINIA CIDADE, PRA",COELHO NETO,Terça-Feira,07:00 H ÀS 14:30 H,25-Pavuna,Rio de Janeiro,RJ,Brasil,"PROF VIRGINIA CIDADE, PRA, COELHO NETO, Rio de Janeiro, RJ, Brasil",21c900a9c1ce,-22.8322449,-43.3501913,ok,nominatim,,neighborhood,"COELHO NETO, Rio de Janeiro, RJ, Brasil"
"CEL MOREIRA CESAR, RUA",COSTA BARROS,Quarta-Feira,07:00 H ÀS 14:30 H,25-Pavuna,Rio de Janeiro,RJ,Brasil,"CEL MOREIRA CESAR, RUA, COSTA BARROS, Rio de Janeiro, RJ, Brasil",cf031d90b46c,-22.8246995,-43.3698395,ok,nominatim,,neighborhood,"COSTA BARROS, Rio de Janeiro, RJ, Brasil"
LARGO DO ANIL,JACAREPAGUA,Sábado,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"LARGO DO ANIL, JACAREPAGUA, Rio de Janeiro, RJ, Brasil",b21f7813f42f,-22.9531726,-43.3715825,ok,nominatim,,neighborhood,"JACAREPAGUA, Rio de Janeiro, RJ, Brasil"
"GAL OLIVIO UZEDA, RUA",JACAREPAGUA,Terça-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"GAL OLIVIO UZEDA, RUA, JACAREPAGUA, Rio de Janeiro, RJ, Brasil",41517de685fb,-22.9531726,-43.3715825,ok,nominatim,,neighborhood,"JACAREPAGUA, Rio de Janeiro, RJ, Brasil"
"VOSSIO BRIGIDO, RUA GAL.",JACAREPAGUA,Quarta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"VOSSIO BRIGIDO, RUA GAL., JACAREPAGUA, Rio de Janeiro, RJ, Brasil",ae04aaeaa248,-22.9531726,-43.3715825,ok,nominatim,,neighborhood,"JACAREPAGUA, Rio de Janeiro, RJ, Brasil"
"ENG. SOUZA FILHO, AVN",JACAREPAGUA,Domingo,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"ENG. SOUZA FILHO, AVN, JACAREPAGUA, Rio de Janeiro, RJ, Brasil",d62748e58826,-22.9531726,-43.3715825,ok,nominatim,,neighborhood,"JACAREPAGUA, Rio de Janeiro, RJ, Brasil"
AVENIDA DAS LAGOAS,GARDENIA AZUL,Sábado,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"AVENIDA DAS LAGOAS, GARDENIA AZUL, Rio de Janeiro, RJ, Brasil",206a485b24c8,-22.9583617,-43.3445873,ok,nominatim,,neighborhood,"AVENIDA DAS LAGOAS, GARDENIA AZUL, Rio de Janeiro, RJ, Brasil"
RUA EDGARD CAVALEIRO,CIDADE DE DEUS,Domingo,07:00 H ÀS 14:30 H,34-Cidade de Deus,Rio de Janeiro,RJ,Brasil,"RUA EDGARD CAVALEIRO, CIDADE DE DEUS, Rio de Janeiro, RJ, Brasil",616e2deb9060,-22.94803,-43.362903,ok,nominatim,,neighborhood,"CIDADE DE DEUS, Rio de Janeiro, RJ, Brasil"
RUA MOISES,CIDADE DE DEUS,Quarta-Feira,07:00 H ÀS 14:30 H,34-Cidade de Deus,Rio de Janeiro,RJ,Brasil,"RUA MOISES, CIDADE DE DEUS, Rio de Janeiro, RJ, Brasil",e4ab41b579eb,-22.9480908,-43.3592755,ok,nominatim,,street,"RUA MOISES, CIDADE DE DEUS, Rio de Janeiro, RJ, Brasil"
"ARAGUAIA,RUA",FREGUESIA(JACAREPAGUA),Terça-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"ARAGUAIA,RUA, FREGUESIA(JACAREPAGUA), Rio de Janeiro, RJ, Brasil",6cfd11e96472,-22.9343093,-43.3347313,ok,nominatim,,street,"ARAGUAIA,RUA, FREGUESIA(JACAREPAGUA), Rio de Janeiro, RJ, Brasil"
"ARIAPO, RUA",TAQUARA,Quinta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"ARIAPO, RUA, TAQUARA, Rio de Janeiro, RJ, Brasil",aa7372ee8773,-22.9218864,-43.384646,ok,nominatim,,neighborhood,"TAQUARA, Rio de Janeiro, RJ, Brasil"
RUA JOSÉ PERIGAULT,TAQUARA,Quarta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"RUA JOSÉ PERIGAULT, TAQUARA, Rio de Janeiro, RJ, Brasil",a4de7fb31867,-22.9347662,-43.3689929,ok,nominatim,,street,"RUA JOSÉ PERIGAULT, TAQUARA, Rio de Janeiro, RJ, Brasil"
RUAS ALEXANDRE RAMOS E CORONEL TEDIM,TANQUE,Quarta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"RUAS ALEXANDRE RAMOS E CORONEL TEDIM, TANQUE, Rio de Janeiro, RJ, Brasil",711399a943a5,-22.9151927,-43.3557471,ok,nominatim,,neighborhood,"TANQUE, Rio de Janeiro, RJ, Brasil"
RUA BARÃO,PRACA SECA,Domingo,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"RUA BARÃO, PRACA SECA, Rio de Janeiro, RJ, Brasil",c434ad977eac,-22.8950665,-43.3572692,ok,nominatim,,street,"RUA BARÃO, PRACA SECA, Rio de Janeiro, RJ, Brasil"
"DAS MARGARIDAS, RUA",VILA VALQUEIRE,Quinta-Feira,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"DAS MARGARIDAS, RUA, VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil",f4363c6252f1,-22.8886093,-43.3657758,ok,nominatim,,neighborhood,"VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil"
"JAMBEIRO, AVN",VILA VALQUEIRE,Domingo,07:00 H ÀS 14:30 H,16-Jacarépaguá,Rio de Janeiro,RJ,Brasil,"JAMBEIRO, AVN, VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil",55891316f342,-22.8886093,-43.3657758,ok,nominatim,,neighborhood,"VILA VALQUEIRE, Rio de Janeiro, RJ, Brasil"
"SAO PERPETUO, PCA",BARRA DA TIJUCA,Domingo,07:00 H ÀS 13:00 H,24-Barra da Tijuca,Rio de Janeiro,RJ,Brasil,"SAO PERPETUO, PCA, BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil",49a74441253c,-22.9997404,-43.3659929,ok,nominatim,,neighborhood,"BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil"
"SAO PERPETUO, PRC",BARRA DA TIJUCA,Quinta-Feira,07:00 H ÀS 13:00 H,24-Barra da Tijuca,Rio de Janeiro,RJ,Brasil,"SAO PERPETUO, PRC, BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil",e5d4b4bfdc87,-22.9997404,-43.3659929,ok,nominatim,,neighborhood,"BARRA DA TIJUCA, Rio de Janeiro, RJ, Brasil"
"OLIMPIO DE CASTRO, RUA",CAMPO DOS AFONSOS,Quarta-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"OLIMPIO DE CASTRO, RUA, CAMPO DOS AFONSOS, Rio de Janeiro, RJ, Brasil",d293921ca16d,-22.8795186,-43.3803636,ok,nominatim,,neighborhood,"CAMPO DOS AFONSOS, Rio de Janeiro, RJ, Brasil"
"ABRANTES, RUA",MAGALHAES BASTOS,Sexta-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"ABRANTES, RUA, MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil",af4a374dc35e,-22.8725117,-43.4136384,ok,nominatim,,neighborhood,"MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil"
"SAO CAETANO, RUA",MAGALHAES BASTOS,Terça-Feira,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"SAO CAETANO, RUA, MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil",54c56a673482,-22.8725117,-43.4136384,ok,nominatim,,neighborhood,"MAGALHAES BASTOS, Rio de Janeiro, RJ, Brasil"
"MAL MODESTINO, RUA",REALENGO,Domingo,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"MAL MODESTINO, RUA, REALENGO, Rio de Janeiro, RJ, Brasil",6d9ab8ff65a8,-22.8701673,-43.4332039,ok,nominatim,,street,"MAL MODESTINO, RUA, REALENGO, Rio de Janeiro, RJ, Brasil"
"EUNAPIO DEIRO, RUA",REALENGO,Sábado,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"EUNAPIO DEIRO, RUA, REALENGO, Rio de Janeiro, RJ, Brasil",79dcfc880f26,-22.8772743,-43.4301032,ok,nominatim,,neighborhood,"REALENGO, Rio de Janeiro, RJ, Brasil"
"MANUEL NOGUEIRA DE SA, ETR",REALENGO,Domingo,07:00 H ÀS 14:30 H,33-Realengo,Rio de Janeiro,RJ,Brasil,"MANUEL NOGUEIRA DE SA, ETR, REALENGO, Rio de Janeiro, RJ, Brasil",5b9ef899c45e,-22.8772743,-43.4301032,ok,nominatim,,neighborhood,"REALENGO, Rio de Janeiro, RJ, Brasil"
"HELIANTO, RUA",PADRE MIGUEL,Sábado,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"HELIANTO, RUA, PADRE MIGUEL, Rio de Janeiro, RJ, Brasil",eeaad6a9b03b,-22.8788135,-43.4485569,ok,nominatim,,neighborhood,"PADRE MIGUEL, Rio de Janeiro, RJ, Brasil"
"IGUATAMA, PRÇ",BANGU,Sábado,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"IGUATAMA, PRÇ, BANGU, Rio de Janeiro, RJ, Brasil",5ea4e98dcee9,-22.8753053,-43.4648805,ok,nominatim,,neighborhood,"BANGU, Rio de Janeiro, RJ, Brasil"
"PROF CLEMENTE FERREIRA, RUA",BANGU,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"PROF CLEMENTE FERREIRA, RUA, BANGU, Rio de Janeiro, RJ, Brasil",a607f159cd87,-22.8753053,-43.4648805,ok,nominatim,,neighborhood,"BANGU, Rio de Janeiro, RJ, Brasil"
"MAL MARCIANO, RUA",BANGU,Quarta-Feira,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"MAL MARCIANO, RUA, BANGU, Rio de Janeiro, RJ, Brasil",50e6c2b93b73,-22.8753053,-43.4648805,ok,nominatim,,neighborhood,"BANGU, Rio de Janeiro, RJ, Brasil"
"CHERBURGO, RUA",BANGU,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"CHERBURGO, RUA, BANGU, Rio de Janeiro, RJ, Brasil",a7c2a25d716f,-22.8753053,-43.4648805,ok,nominatim,,neighborhood,"BANGU, Rio de Janeiro, RJ, Brasil"
"URUCUM, RUA",BANGU,Quinta-Feira,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"URUCUM, RUA, BANGU, Rio de Janeiro, RJ, Brasil",0901d39e125a,-22.8753053,-43.4648805,ok,nominatim,,neighborhood,"BANGU, Rio de Janeiro, RJ, Brasil"
"CARNAUBA, RUA",SENADOR CAMARA,Domingo,07:00 H ÀS 14:30 H,17-Bangu,Rio de Janeiro,RJ,Brasil,"CARNAUBA, RUA, SENADOR CAMARA, Rio de Janeiro, RJ, Brasil",196d48f229f9,-22.888752,-43.4913887,ok,nominatim,,neighborhood,"SENADOR CAMARA, Rio de Janeiro, RJ, Brasil"
"CAMPO MAIOR / AV MARIANA, RUA",CAMPO GRANDE,Terça-Feira,07:00 H ÀS 14:30 H,18-Campo Grande,Rio de Janeiro,RJ,Brasil,"CAMPO MAIOR / AV MARIANA, RUA, CAMPO GRANDE, Rio de Janeiro, RJ, Brasil",2d7f2259c791,-22.902953,-43.5591295,ok,nominatim,,neighborhood,"CAMPO GRANDE, Rio de Janeiro, RJ, Brasil"
"LAUDELINO VIEIRA DE CAMPOS, RUA",CAMPO GRANDE,Domingo,07:00 H ÀS 14:30 H,18-Campo Grande,Rio de Janeiro,RJ,Brasil,"LAUDELINO VIEIRA DE CAMPOS, RUA, CAMPO GRANDE, Rio de Janeiro, RJ, Brasil",5722e269a765,-22.902953,-43.5591295,ok,nominatim,,neighborhood,"CAMPO GRANDE, Rio de Janeiro, RJ, Brasil"
"CAMPEIRO-MOR, RUA",SANTA CRUZ,Terça-Feira,07:00 H ÀS 14:30 H,19-Santa Cruz,Rio de Janeiro,RJ,Brasil,"CAMPEIRO-MOR, RUA, SANTA CRUZ, Rio de Janeiro, RJ, Brasil",ca29318ff097,-22.9176248,-43.6834907,ok,nominatim,,neighborhood,"SANTA CRUZ, Rio de Janeiro, RJ, Brasil"
"FLORESTA, RUA",SEPETIBA,Sábado,07:00 H ÀS 14:30 H,19-Santa Cruz,Rio de Janeiro,RJ,Brasil,"FLORESTA, RUA, SEPETIBA, Rio de Janeiro, RJ, Brasil",74547a91b526,-22.9679803,-43.6940872,ok,nominatim,,neighborhood,"SEPETIBA, Rio de Janeiro, RJ, Brasil"
"ROBERTO DA SILVEIRA, RUA/PARQUE UNIAO",MARE,Quarta-Feira,07:00 H ÀS 14:30 H,30-Complexo da Maré,Rio de Janeiro,RJ,Brasil,"ROBERTO DA SILVEIRA, RUA/PARQUE UNIAO, MARE, Rio de Janeiro, RJ, Brasil",892096642ace,-22.8592368,-43.2425729,ok,nominatim,,neighborhood,"MARE, Rio de Janeiro, RJ, Brasil"
